transition,n_parents,n_children,n_edges,n_novel,n_splits,pct_same_ct,mean_sim
K=4→5,4,5,5,0,1,80%,0.999
K=5→6,5,6,6,0,1,83%,0.998
K=6→7,6,7,7,0,1,57%,0.998
K=7→8,7,8,8,0,1,62%,0.999
K=8→9,8,9,9,0,1,78%,0.999
K=9→10,9,10,10,0,1,80%,0.970
K=10→11,10,11,11,0,1,82%,0.936
K=11→12,11,12,12,0,1,92%,1.000
K=12→13,12,13,13,0,1,85%,1.000
K=13→14,13,14,14,0,1,93%,1.000
K=14→15,14,15,15,0,1,73%,1.000
K=15→16,15,16,16,0,2,75%,0.957
K=16→17,16,17,16,1,4,62%,0.995
K=17→18,17,18,18,0,1,94%,1.000
K=18→19,18,19,19,0,3,58%,0.992
K=19→20,19,20,20,0,4,95%,0.967
