celltype,emerges_at_K,best_consecutive_persistence,best_persistence_start_K,best_persistence_end_K
DC_pDC,7.0,5.0,10.0,14.0
Mast,9.0,10.0,9.0,18.0
Mono_CD16,10.0,11.0,10.0,20.0
Mono_CD14_ID1,11.0,5.0,11.0,15.0
Mac_SPP1,16.0,11.0,9.0,19.0
Mono_CD14_THBS1,19.0,1.0,19.0,19.0
Mac_CXCL9,,7.0,9.0,15.0
Mac_IL1B,,,,
Mac_IL1Bint,,7.0,9.0,15.0
Mono_CD14,,,,
Mono_CD14_IL1B,,,,
Mono_Int,,,,
Mono_TIL,,,,
cDC1_CLEC9A,,17.0,4.0,20.0
cDC2_CD1C,,17.0,4.0,20.0
cDC2_CD33,,6.0,10.0,15.0
mregDC_LAMP3,,17.0,4.0,20.0
