k	gep	family_label	top1_celltype	top2_celltype	top3_celltype
4	2	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
4	3	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
5	2	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
5	3	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
6	2	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
6	3	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
7	2	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
7	6	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
8	5	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
9	5	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
9	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
10	4	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
10	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
10	8	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
11	3	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
11	8	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
11	9	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
12	3	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
12	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
12	10	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
13	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
13	8	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
13	10	DC_family	cDC1_CLEC9A	cDC2_CD33	cDC2_CD1C
13	11	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
14	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
14	8	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
14	10	DC_family	cDC1_CLEC9A	cDC2_CD33	cDC2_CD1C
14	11	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
15	3	DC_family	cDC2_CD1C	cDC1_CLEC9A	cDC2_CD33
15	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
15	9	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
15	10	DC_family	mregDC_LAMP3	cDC1_CLEC9A	cDC2_CD1C
15	11	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
16	9	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
16	13	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
17	3	DC_family	cDC2_CD33	cDC2_CD1C	cDC1_CLEC9A
17	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
17	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
17	11	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
17	12	DC_family	cDC1_CLEC9A	cDC2_CD1C	mregDC_LAMP3
18	3	DC_family	cDC2_CD33	cDC2_CD1C	cDC1_CLEC9A
18	4	Macrophage_family	Mac_CXCL9	Mac_IL1Bint	Mac_SPP1
18	7	Macrophage_family	Mac_SPP1	Mac_CXCL9	Mac_IL1Bint
18	12	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
18	13	DC_family	cDC1_CLEC9A	cDC2_CD1C	mregDC_LAMP3
18	17	Macrophage_family	Mac_SPP1	Mac_IL1Bint	Mac_CXCL9
19	3	DC_family	cDC2_CD33	cDC2_CD1C	cDC1_CLEC9A
19	10	Macrophage_family	Mac_CXCL9	Mac_SPP1	Mac_IL1Bint
19	12	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
19	16	DC_family	mregDC_LAMP3	cDC1_CLEC9A	cDC2_CD1C
19	18	Macrophage_family	Mac_SPP1	Mac_IL1Bint	Mac_CXCL9
20	9	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
20	12	DC_family	mregDC_LAMP3	cDC2_CD1C	cDC1_CLEC9A
