k_parent,k_child,parent_gep,child_gep,similarity,parent_celltype,child_celltype,celltype_match
5,6,1,1,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,2,2,0.9973,Tumor/Epithelials,Tumor/Epithelials,True
5,6,3,3,0.9969,Tumor/Epithelials,Tumor/Epithelials,True
5,6,4,4,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,5,5,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
5,6,2,6,0.8346,Tumor/Epithelials,Ambiguous/Mixed,False
6,7,1,1,0.9951,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,2,2,0.9891,Tumor/Epithelials,Tumor/Epithelials,True
6,7,3,3,0.9448,Tumor/Epithelials,Tumor/Epithelials,True
6,7,4,4,0.8919,Ambiguous/Mixed,Fibroblasts/Stromal,False
6,7,5,5,0.9779,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,6,6,0.7868,Ambiguous/Mixed,Ambiguous/Mixed,True
6,7,6,7,0.8995,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,2,1,0.9693,Tumor/Epithelials,Tumor/Epithelials,True
7,8,1,2,0.9626,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,3,3,0.9583,Tumor/Epithelials,Tumor/Epithelials,True
7,8,6,4,0.43,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,4,5,0.973,Fibroblasts/Stromal,Fibroblasts/Stromal,True
7,8,5,6,0.9681,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,6,7,0.9265,Ambiguous/Mixed,Ambiguous/Mixed,True
7,8,7,8,0.9853,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,2,1,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,1,2,0.9865,Tumor/Epithelials,Tumor/Epithelials,True
8,9,3,3,0.9973,Tumor/Epithelials,Tumor/Epithelials,True
8,9,4,4,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,5,5,0.9975,Fibroblasts/Stromal,Fibroblasts/Stromal,True
8,9,6,6,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,8,7,0.8529,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,7,8,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,8,9,0.9828,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,2,1,1.0,Tumor/Epithelials,Tumor/Epithelials,True
9,10,3,2,0.9667,Tumor/Epithelials,Tumor/Epithelials,True
9,10,1,3,0.8799,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,4,4,0.6732,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,4,5,0.7666,Ambiguous/Mixed,Plasma_XBP1,False
9,10,5,6,0.9804,Fibroblasts/Stromal,Fibroblasts/Stromal,True
9,10,9,7,0.8873,Ambiguous/Mixed,Tumor/Epithelials,False
9,10,6,8,0.9118,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,8,9,0.9926,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,9,10,0.9608,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,1,1,0.9949,Tumor/Epithelials,Tumor/Epithelials,True
10,11,3,2,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,2,3,0.8969,Tumor/Epithelials,Tumor/Epithelials,True
10,11,4,4,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,5,5,0.9951,Plasma_XBP1,Plasma_XBP1,True
10,11,6,6,0.9975,Fibroblasts/Stromal,Fibroblasts/Stromal,True
10,11,7,7,0.9951,Tumor/Epithelials,Tumor/Epithelials,True
10,11,8,8,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,9,9,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
10,11,7,10,0.75,Tumor/Epithelials,Ambiguous/Mixed,False
10,11,10,11,0.9608,Ambiguous/Mixed,Ambiguous/Mixed,True
11,12,2,1,0.9706,Ambiguous/Mixed,Ambiguous/Mixed,True
11,12,6,2,0.8279,Fibroblasts/Stromal,Tumor/Epithelials,False
11,12,4,3,0.9706,Ambiguous/Mixed,Ambiguous/Mixed,True
11,12,7,4,0.8487,Tumor/Epithelials,Fibroblasts/Stromal,False
11,12,5,5,0.9461,Plasma_XBP1,Plasma_XBP1,True
11,12,9,6,0.9265,Ambiguous/Mixed,Endothelials,False
11,12,3,7,0.9063,Tumor/Epithelials,Ambiguous/Mixed,False
11,12,3,8,0.381,Tumor/Epithelials,Ambiguous/Mixed,False
11,12,11,9,0.9608,Ambiguous/Mixed,Tumor/Epithelials,False
11,12,11,10,0.8824,Ambiguous/Mixed,Tumor/Epithelials,False
11,12,8,11,0.8039,Ambiguous/Mixed,Ambiguous/Mixed,True
11,12,8,12,0.8995,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,2,1,0.8658,Tumor/Epithelials,Tumor/Epithelials,True
12,13,1,2,0.9681,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,2,3,0.9605,Tumor/Epithelials,Tumor/Epithelials,True
12,13,3,4,0.9681,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,5,5,0.9363,Plasma_XBP1,Plasma_XBP1,True
12,13,9,6,0.8848,Tumor/Epithelials,Tumor/Epithelials,True
12,13,4,7,0.804,Fibroblasts/Stromal,Fibroblasts/Stromal,True
12,13,12,8,0.9118,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,10,9,0.973,Tumor/Epithelials,Tumor/Epithelials,True
12,13,7,10,0.7034,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,6,11,0.9069,Endothelials,Ambiguous/Mixed,False
12,13,7,12,0.9485,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,9,13,0.9755,Tumor/Epithelials,Ambiguous/Mixed,False
13,14,1,1,0.9974,Tumor/Epithelials,Tumor/Epithelials,True
13,14,2,2,0.9755,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,3,3,0.9345,Tumor/Epithelials,Tumor/Epithelials,True
13,14,4,4,0.9804,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,5,5,0.9926,Plasma_XBP1,Plasma_XBP1,True
13,14,6,6,0.9926,Tumor/Epithelials,Tumor/Epithelials,True
13,14,7,7,0.9804,Fibroblasts/Stromal,Fibroblasts/Stromal,True
13,14,8,8,0.9926,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,9,9,1.0,Tumor/Epithelials,Tumor/Epithelials,True
13,14,10,10,0.9975,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,11,11,0.9779,Ambiguous/Mixed,Endothelials,False
13,14,12,12,0.951,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,13,13,0.9436,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,11,14,0.6691,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,1,1,0.9921,Tumor/Epithelials,Tumor/Epithelials,True
14,15,2,2,0.9951,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,3,3,1.0,Tumor/Epithelials,Tumor/Epithelials,True
14,15,5,4,0.9975,Plasma_XBP1,Ambiguous/Mixed,False
14,15,4,5,0.9265,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,6,6,0.9902,Tumor/Epithelials,Tumor/Epithelials,True
14,15,7,7,0.9902,Fibroblasts/Stromal,Fibroblasts/Stromal,True
14,15,9,8,0.9534,Tumor/Epithelials,Tumor/Epithelials,True
14,15,8,9,0.9902,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,10,10,0.9485,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,11,11,0.9436,Endothelials,Endothelials,True
14,15,12,12,0.9804,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,13,13,0.8235,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,8,14,0.8578,Ambiguous/Mixed,Ambiguous/Mixed,True
